mol	H	Hi	Li	C	N	O	Na	Mg	Al	Si	S	K	Fe	T_s
CO	0	0	0	6.43E+06	0	6.43E+06	0	0	0	0	0	0	0	2000
H2O	3.28e6	0	0	0	0	1.64e6	0	0	0	0	0	0	0	2000
Al2O3	0	0	0	0	0	1.65E+04	0	0	1.10E+04	0	0	0	0	1550
MgAl2O4	0	0	0	0	0	2.21E+04	0	5.51E+03	1.10E+04	0	0	0	0	1250
Mg2SiO4	0	0	0	0	0	8.18E+05	0	4.09E+05	0	2.05E+05	0	0	0	1200
Fe	0	0	0	0	0	0	0	0	0	0	0	0	8.70E+05	1200
MgSiO3	0	0	0	0	0	1.84E+06	0	6.14E+05	0	6.14E+05	0	0	0	1150
KALSi3O8	0	0	0	0	0	2.92E+04	0	0	3.65E+03	1.10E+04	0	3.65E+03	0	850
NaAlSi3O8	0	0	0	0	0	4.56E+05	5.70E+04	0	5.70E+04	1.71E+05	0	0	0	850
FeS	0	0	0	0	0	0	0	0	0	0	4.38E+05	0	0	650
abund	2.93E+10	2.47E+09	55.6	7.19E+06	2.12E+06	1.57E+07	5.77E+04	1.03E+06	8.46E+04	1.00E+06	4.38E+05	3.76E+03	8.70E+05	0

