mol	H	Hi	Li	C	N	O	Na	Mg	Al	Si	S	K	Fe	T_s
CO	0	0	0	7.19E+06	0	7.19E+06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E+03
H2O	1.06E+07	0	0	0.00E+00	0	5.12E+06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E+03
Al2O3	0	0	0	0.00E+00	0	3.47E+04	0.00E+00	0.00E+00	1.16E+04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.55E+03
MgAl2O4	0	0	0	0.00E+00	0	4.63E+04	0.00E+00	1.16E+04	1.16E+04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.25E+03
Mg2SiO4	0	0	0	0.00E+00	0	8.34E+05	0.00E+00	4.17E+05	0.00E+00	2.09E+05	0.00E+00	0.00E+00	0.00E+00	1.20E+03
Fe	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.32E+05	1.20E+03
MgSiO3	0	0	0	0.00E+00	0	1.82E+06	0.00E+00	6.07E+05	0.00E+00	6.07E+05	0.00E+00	0.00E+00	0.00E+00	1.15E+03
KALSi3O8	0	0	0	0.00E+00	0	3.01E+04	0.00E+00	0.00E+00	3.76E+03	1.13E+04	0.00E+00	3.76E+03	0.00E+00	8.50E+02
NaAlSi3O8	0	0	0	0.00E+00	0	4.62E+05	5.77E+04	0.00E+00	5.77E+04	1.73E+05	0.00E+00	0.00E+00	0.00E+00	8.50E+02
FeS	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.38E+05	0.00E+00	4.38E+05	6.50E+02
abund	2.93E+10	2.47E+09	55.6	7.19E+06	2.12E+06	1.57E+07	5.77E+04	1.03E+06	8.46E+04	1.00E+06	4.38E+05	3.76E+03	8.70E+05	0
